y,x1,x2,x3,x4,x5,x6
-0.557244301811736,100,1000,8000,0,2,6
-0.495067130769798,100,1000,8000,24,2,6
-0.457760828144636,100,1000,8000,24,3,6
-0.376930505790117,50,2000,16000,12,3,16
-0.320971051852374,50,2000,16000,24,6,16
-0.252576163706243,50,2000,16000,24,6,16
-0.470196262353023,150,512,4000,0,8,128
-0.345841920269149,115,2000,8000,16,1,3
-0.408019091311086,115,2000,4000,2,1,5
-0.271229315018824,92,2000,8000,32,1,6
-0.283664749227212,92,2000,8000,32,1,6
-0.345841920269149,92,2000,8000,4,1,6
-0.246358446602049,75,4000,16000,16,1,6
-0.122004104518175,60,4000,16000,32,1,6
-0.196616709768499,60,2000,16000,64,5,8
-0.0784800847888185,60,4000,16000,64,5,8
0.0334388230866686,50,4000,16000,64,5,10
0.232405770420868,72,4000,16000,64,8,16
-0.0038674795384937,72,2000,8000,16,6,8
0.673863684818623,40,8000,16000,32,8,16
1.06557986238283,40,8000,32000,64,8,24
1.64382755307284,35,8000,32000,64,8,24
2.51430794765997,38,16000,32000,128,16,32
0.673863684818623,48,4000,24000,32,8,24
1.37024800048832,38,8000,32000,64,8,24
2.51430794765997,30,16000,32000,256,16,24
-0.606986038645285,112,1000,1000,0,1,4
-0.58211517022851,84,1000,2000,0,1,6
-0.551026584707542,56,1000,4000,0,1,6
-0.526155716290767,56,2000,6000,0,1,8
-0.507502564978186,56,2000,8000,0,1,8
-0.445325393936248,56,4000,8000,0,1,8
-0.395583657102699,56,4000,12000,0,1,8
-0.370712788685924,56,4000,16000,0,1,8
-0.339624203164955,38,4000,8000,32,16,32
0.0645274086076373,38,4000,8000,32,16,32
-0.0349560650594624,38,8000,16000,64,4,8
0.213752619108287,38,8000,24000,160,4,8
0.661428250610235,38,4000,16000,128,16,32
-0.501284847873992,200,1000,2000,0,1,2
-0.470196262353023,200,1000,4000,0,1,4
-0.401801374206892,200,2000,8000,64,1,5
-0.501284847873992,250,512,4000,0,1,7
-0.345841920269149,250,512,4000,0,4,7
-0.345841920269149,250,1000,16000,1,1,8
-0.470196262353023,160,512,4000,2,1,5
-0.457760828144636,160,512,2000,2,3,8
-0.420454525519474,160,1000,4000,8,1,14
-0.283664749227212,160,1000,8000,16,1,14
0.0210033888782812,160,2000,8000,32,1,13
-0.619421472853673,240,512,1000,8,1,3
-0.588332887332704,240,512,2000,8,1,5
-0.519937999186573,105,2000,4000,8,3,8
-0.451543111040442,105,2000,6000,16,6,16
-0.296100183435599,105,2000,8000,16,4,14
0.151575448066349,52,4000,16000,32,4,12
-0.190398992664306,70,4000,12000,8,6,8
0.0458742572950561,59,4000,12000,32,6,12
0.512203040109586,59,8000,16000,64,12,24
0.41893728354668,26,8000,24000,32,8,16
0.885266066361209,26,8000,32000,64,12,16
1.86144765171962,26,8000,32000,128,24,32
-0.221487578185274,116,2000,8000,32,5,28
0.0520919743992498,50,2000,32000,24,6,26
0.63655738219346,50,2000,32000,48,26,52
1.25211137550864,50,2000,32000,112,52,104
1.81170591488608,50,4000,32000,112,52,104
5.03248337485843,30,8000,64000,96,12,176
6.49364689434395,30,8000,64000,128,12,176
-0.58211517022851,180,262,4000,0,1,3
-0.569679736020123,180,512,4000,0,1,3
-0.544808867603348,180,262,4000,0,1,3
-0.526155716290767,180,512,4000,0,1,3
-0.395583657102699,124,1000,8000,0,1,8
-0.370712788685924,98,1000,8000,32,2,8
-0.333406486060761,125,2000,8000,0,2,14
-0.240140729497855,480,512,8000,32,0,0
-0.376930505790117,480,1000,4000,0,0,0
